,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
45,0,1,79,0,7,0.0,1,2.0,5
46,1,1,41,2,0,0.0,0,4.0,3
47,0,0,29,2,5,0.0,2,1.0,6
48,1,0,19,0,5,0.0,2,4.0,5
49,0,0,45,2,2,1.0,2,1.0,5
50,0,1,61,0,0,1.0,0,2.0,1
51,0,1,36,2,0,1.0,0,2.0,5
52,1,1,40,2,0,1.0,2,1.0,2
53,0,1,57,2,3,0.0,0,2.0,5
54,1,1,76,0,8,1.0,2,1.0,3
55,1,1,32,2,0,14.0,0,2.0,5
56,1,0,25,2,5,9.0,2,4.0,5
57,1,0,32,1,1,8.0,2,2.0,5
58,0,1,45,2,0,1.0,0,3.0,2
59,1,1,72,2,7,1.0,2,1.0,3
60,1,1,48,2,0,0.0,0,2.0,5
61,1,1,55,2,0,9.0,0,2.0,0
62,1,1,74,2,7,0.0,1,3.0,5
63,1,1,56,2,7,1.0,1,2.0,5
64,1,1,59,2,7,7.0,1,2.0,5
65,1,0,25,2,3,0.0,2,2.0,5
66,1,1,31,2,1,0.0,0,2.0,5
67,1,0,27,0,0,8.0,2,4.0,5
68,1,1,57,2,0,0.0,0,4.0,5
69,0,1,39,2,6,0.0,1,2.0,5
70,1,1,27,2,5,8.0,2,2.0,5
71,0,1,51,2,3,8.0,0,2.0,5
72,0,1,47,0,0,0.0,0,5.0,5
73,0,0,33,0,5,8.0,2,4.0,5
74,1,1,56,2,0,0.0,0,4.0,5
75,0,0,33,0,6,0.0,2,3.0,5
76,0,0,36,2,1,0.0,2,2.0,5
77,1,1,51,0,0,4.0,2,3.0,3
78,1,1,45,2,2,2.0,0,2.0,5
79,0,0,49,2,9,1.0,2,1.0,5
80,1,0,30,0,5,0.0,2,4.0,5
81,0,0,26,0,5,6.0,2,3.0,4
82,1,1,63,2,0,8.0,2,1.0,5
83,1,1,35,0,3,8.0,0,4.0,2
84,0,0,19,0,8,1.0,2,3.0,3
85,1,0,32,0,5,7.0,2,5.0,5
86,1,1,52,2,0,0.0,0,3.0,5
87,0,1,36,2,0,5.0,2,2.0,5
88,0,0,42,0,3,7.0,2,3.0,3
89,1,1,40,0,1,0.0,0,2.0,2
90,1,0,39,2,3,0.0,2,3.0,0
91,0,1,47,2,0,1.0,0,4.0,2
92,0,1,61,2,0,1.0,1,2.0,5
93,1,1,32,0,3,1.0,2,2.0,2
94,1,1,55,0,0,0.0,2,1.0,5
95,1,1,58,2,0,0.0,0,1.0,5
96,0,0,38,2,0,0.0,2,1.0,5
97,1,1,63,2,0,0.0,1,2.0,5
98,1,1,58,2,1,1.0,0,2.0,5
99,1,1,30,0,2,3.0,0,3.0,3
100,1,1,60,2,0,0.0,0,4.0,5
101,1,1,68,0,4,1.0,1,7.0,5
102,1,1,52,0,0,0.0,2,3.0,3
103,1,1,38,0,4,0.0,1,5.0,5
104,0,1,35,2,5,10.0,2,2.0,5
105,1,0,18,0,1,1.0,2,2.0,5
106,1,1,30,2,6,3.0,2,2.0,0
107,1,0,86,0,7,1.0,2,1.0,5
108,0,2,19,0,5,6.0,2,5.0,2
109,1,0,25,0,5,9.0,2,3.0,5
110,1,1,59,2,3,0.0,2,4.0,3
111,0,0,39,2,0,0.0,2,1.0,5
112,0,1,50,2,1,1.0,2,1.0,5
113,1,0,47,2,0,1.0,2,1.0,5
114,1,1,43,2,4,0.0,1,3.0,5
115,1,1,36,0,4,8.0,0,4.0,0
116,1,1,80,0,7,1.0,2,1.0,5
117,1,0,36,2,0,0.0,2,2.0,1
118,1,0,27,0,9,2.0,2,7.0,3
119,0,1,37,2,0,1.0,1,2.0,6
120,1,1,46,2,4,0.0,1,3.0,5
121,1,1,55,0,4,1.0,1,4.0,2
122,0,1,47,0,2,9.0,0,4.0,3
123,0,0,28,2,5,1.0,2,3.0,2
124,1,1,39,0,3,9.0,2,2.0,2
125,0,1,27,0,8,1.0,2,2.0,5
126,0,1,42,0,2,0.0,2,1.0,5
127,1,1,72,2,0,0.0,0,2.0,5
128,0,1,28,2,2,0.0,2,2.0,5
129,1,0,35,2,3,8.0,2,5.0,5
130,1,1,39,2,4,9.0,1,5.0,1
131,0,1,69,2,7,0.0,1,2.0,5
132,1,0,18,0,5,6.0,2,4.0,3
133,1,1,46,2,0,0.0,2,1.0,5
134,0,1,50,2,2,1.0,1,2.0,3
135,1,0,30,0,4,5.0,2,5.0,5
136,0,0,41,0,0,0.0,2,2.0,5
137,0,0,39,2,0,3.0,2,4.0,5
138,0,0,29,0,8,8.0,2,4.0,5
139,0,1,37,2,0,4.0,2,4.0,4
140,0,1,39,2,2,0.0,0,2.0,5
141,0,1,48,2,0,0.0,0,5.0,6
142,0,0,32,2,1,0.0,2,3.0,5
143,1,1,78,0,7,1.0,2,1.0,5
144,0,1,43,0,2,0.0,0,5.0,3
145,1,0,29,0,8,8.0,2,5.0,5
146,0,1,28,0,2,9.0,0,2.0,3
147,1,1,80,2,7,1.0,2,1.0,5
148,0,0,28,2,5,7.0,2,4.0,5
149,1,1,71,2,0,6.0,0,3.0,5
150,1,1,67,0,7,0.0,1,9.0,3
151,0,0,26,0,2,0.0,2,1.0,1
152,0,1,47,2,2,0.0,0,2.0,5
153,0,1,43,2,0,2.0,0,2.0,5
154,0,0,27,2,5,0.0,2,4.0,5
155,0,1,45,2,8,8.0,2,4.0,5
156,1,1,76,0,4,1.0,2,1.0,5
157,0,1,43,2,0,3.0,0,4.0,5
158,0,1,78,2,7,1.0,1,2.0,5
159,1,1,35,2,0,3.0,0,3.0,5
160,0,0,49,2,0,1.0,2,1.0,5
161,0,0,25,2,5,1.0,2,5.0,5
162,1,1,37,0,4,0.0,0,5.0,5
163,0,0,32,0,5,1.0,2,5.0,7
164,1,1,60,2,1,0.0,0,2.0,5
165,0,1,45,2,0,5.0,0,3.0,5
166,0,1,49,2,6,9.0,0,3.0,5
167,1,0,32,2,0,0.0,2,5.0,5
168,0,1,40,2,0,0.0,2,3.0,2
169,1,1,59,0,0,2.0,0,2.0,3
170,1,1,48,2,0,3.0,2,5.0,5
171,1,1,82,2,4,0.0,1,2.0,5
172,0,1,70,2,7,0.0,2,2.0,5
173,1,0,31,2,0,5.0,2,2.0,5
174,0,1,72,2,7,0.0,1,2.0,5
175,1,1,50,2,0,3.0,0,4.0,5
176,0,0,23,0,2,11.0,2,1.0,2
177,0,0,20,0,5,2.0,2,6.0,5
178,0,0,22,0,5,4.0,2,3.0,5
179,0,0,31,2,2,8.0,2,1.0,5
180,0,1,36,2,0,7.0,0,2.0,5
181,1,1,52,0,3,0.0,0,5.0,3
182,0,0,29,2,0,0.0,2,1.0,3
183,1,1,40,2,0,4.0,0,4.0,5
184,0,0,40,2,0,1.0,2,1.0,5
185,1,1,38,2,0,0.0,2,2.0,5
186,0,1,85,0,7,0.0,2,1.0,7
187,0,0,21,0,1,1.0,2,3.0,6
188,0,1,41,0,2,4.0,0,2.0,5
189,1,1,40,2,0,0.0,2,2.0,5
190,1,1,53,2,0,1.0,0,3.0,5
191,0,1,42,2,0,5.0,2,2.0,5
192,1,1,42,0,4,8.0,2,2.0,5
193,1,1,48,2,0,0.0,0,4.0,6
194,1,1,59,2,0,7.0,2,2.0,5
195,1,1,41,2,4,1.0,0,3.0,5
196,0,1,31,2,0,0.0,0,2.0,5
197,0,1,49,2,0,1.0,1,5.0,5
198,1,1,67,2,4,1.0,2,2.0,5
199,1,1,35,0,0,4.0,0,2.0,5
200,0,0,26,2,5,0.0,2,3.0,5
201,1,2,19,0,5,9.0,2,3.0,2
202,0,1,25,0,2,6.0,0,8.0,3
203,0,1,39,2,5,4.0,2,2.0,5
204,1,1,63,2,3,0.0,2,2.0,5
205,1,0,23,0,5,8.0,2,3.0,5
206,0,0,23,0,5,0.0,2,3.0,2
207,0,1,53,2,0,2.0,2,1.0,5
208,1,0,33,2,1,0.0,2,2.0,5
209,0,1,50,0,2,0.0,0,4.0,1
210,0,1,69,2,2,0.0,2,2.0,3
211,1,0,37,2,0,2.0,2,1.0,5
212,0,0,20,0,8,3.0,2,4.0,6
213,0,2,85,0,7,0.0,1,1.0,2
214,0,1,49,2,1,1.0,0,4.0,5
215,1,0,18,0,5,0.0,2,3.0,2
216,0,1,52,2,1,0.0,0,2.0,5
217,1,1,25,0,1,0.0,0,2.0,3
218,1,1,56,0,4,0.0,1,2.0,5
219,1,0,62,2,9,0.0,2,1.0,5
220,0,0,35,1,0,0.0,2,3.0,5
221,1,1,28,2,2,0.0,0,2.0,5
222,0,0,28,2,0,7.0,2,3.0,5
223,1,0,20,0,5,0.0,2,5.0,6
224,0,0,27,0,6,8.0,2,1.0,2
225,0,0,56,0,2,0.0,2,1.0,5
226,1,1,45,2,0,4.0,0,4.0,5
227,1,0,25,2,5,1.0,2,4.0,3
228,1,0,40,0,8,1.0,2,1.0,3
229,0,1,25,2,5,0.0,2,2.0,5
230,0,1,74,0,7,0.0,1,2.0,5
231,0,0,23,0,5,0.0,2,4.0,7
232,0,1,67,2,7,0.0,1,2.0,5
233,1,0,21,0,5,0.0,2,4.0,7
234,0,0,38,2,0,9.0,2,1.0,2
235,1,0,28,0,5,0.0,2,4.0,1
236,0,0,32,0,5,1.0,2,5.0,6
237,0,0,33,2,9,0.0,2,4.0,7
238,0,1,56,0,7,1.0,1,4.0,3
239,0,1,53,2,0,1.0,2,2.0,5
240,1,1,57,0,4,1.0,1,5.0,5
241,0,1,59,2,0,0.0,0,3.0,5
242,0,1,25,2,5,1.0,1,4.0,3
243,1,1,59,2,0,0.0,0,6.0,5
244,0,1,36,2,0,0.0,2,4.0,5
245,1,1,37,2,3,7.0,2,2.0,5
246,1,0,22,0,1,1.0,2,3.0,1
247,1,1,43,2,0,1.0,2,2.0,5
248,1,1,41,2,0,1.0,2,2.0,3
249,0,0,21,0,2,0.0,2,5.0,1
250,0,0,49,0,2,1.0,2,1.0,6
251,1,0,38,2,1,8.0,2,1.0,1
252,1,1,47,0,0,0.0,0,4.0,5
253,1,1,70,2,7,1.0,1,3.0,5
254,0,0,31,0,2,1.0,2,4.0,5
255,0,1,82,0,7,0.0,0,2.0,5
256,0,1,51,0,4,0.0,2,1.0,5
257,0,0,42,0,6,11.0,2,1.0,5
258,1,0,38,2,0,8.0,2,3.0,1
259,1,1,18,0,4,0.0,1,4.0,5
260,1,1,50,2,0,6.0,0,3.0,5
261,0,0,46,2,1,1.0,2,1.0,2
262,0,1,72,0,7,1.0,1,3.0,5
263,0,0,33,0,2,0.0,2,4.0,5
264,0,0,25,0,6,1.0,2,7.0,3
265,0,1,75,0,3,2.0,1,2.0,1
266,1,0,72,2,0,1.0,2,1.0,5
267,0,1,72,2,0,0.0,0,3.0,3
268,1,1,36,2,3,6.0,2,6.0,3
269,1,1,40,2,0,1.0,2,2.0,5
270,0,0,28,2,3,0.0,2,4.0,5
271,0,0,28,2,1,0.0,2,3.0,5
272,1,2,19,0,3,0.0,1,3.0,3
273,1,1,43,2,0,0.0,2,2.0,3
274,0,1,35,2,0,1.0,0,2.0,5
275,1,1,65,2,7,1.0,1,2.0,5
276,1,1,52,2,4,7.0,1,4.0,3
277,0,0,40,2,0,1.0,2,1.0,5
278,0,1,69,0,2,9.0,2,3.0,5
279,0,0,22,0,5,3.0,2,3.0,5
280,1,1,47,2,4,1.0,0,4.0,5
281,1,1,29,2,8,1.0,1,2.0,2
282,1,1,46,2,0,1.0,0,3.0,2
283,1,0,32,2,0,1.0,2,2.0,5
284,0,0,38,2,5,0.0,2,1.0,1
285,1,1,59,2,0,0.0,2,1.0,5
286,0,0,26,2,3,1.0,2,1.0,5
287,1,0,26,2,5,1.0,2,2.0,2
288,1,0,28,0,8,0.0,2,1.0,2
289,0,1,53,2,2,1.0,0,3.0,5
290,0,0,43,1,3,0.0,2,1.0,5
291,1,0,27,0,1,1.0,2,3.0,5
292,0,0,32,0,0,0.0,2,8.0,5
293,1,0,26,0,2,0.0,2,4.0,3
294,0,0,31,0,3,0.0,2,2.0,5
295,1,1,39,2,4,1.0,1,3.0,2
296,0,1,43,0,2,1.0,2,3.0,6
297,1,1,25,0,1,1.0,2,2.0,0
298,1,1,40,2,0,3.0,1,3.0,5
299,0,1,40,2,3,7.0,0,2.0,2
300,1,1,63,2,3,0.0,0,3.0,5
301,0,1,27,2,5,0.0,2,2.0,5
302,1,0,27,2,5,1.0,2,3.0,5
303,0,0,19,0,5,1.0,2,2.0,5
304,0,1,86,2,7,0.0,1,2.0,5
305,1,1,41,2,8,0.0,1,2.0,5
306,0,1,27,2,0,4.0,0,2.0,2
307,0,1,70,0,1,0.0,0,2.0,5
308,0,1,53,0,2,8.0,0,4.0,3
309,0,1,49,0,2,0.0,0,4.0,3
310,1,1,55,0,4,3.0,2,1.0,3
311,0,2,57,2,2,0.0,0,4.0,1
312,1,1,83,0,7,0.0,2,1.0,3
313,1,1,43,0,4,0.0,1,4.0,5
314,1,1,36,0,1,6.0,2,3.0,5
315,1,1,74,2,7,0.0,2,2.0,5
316,0,0,30,0,6,0.0,2,4.0,5
317,0,0,37,2,0,5.0,2,2.0,5
318,0,0,22,0,8,0.0,2,1.0,4
319,1,1,70,2,2,4.0,1,2.0,5
320,1,1,89,2,7,13.0,2,1.0,5
321,1,0,18,0,5,0.0,2,4.0,5
322,1,0,25,2,1,6.0,2,1.0,1
323,0,0,45,2,0,4.0,2,1.0,2
324,0,0,35,2,0,3.0,2,1.0,3
325,0,1,37,0,2,7.0,2,1.0,3
326,0,1,39,0,2,4.0,0,2.0,5
327,0,0,32,2,5,1.0,2,5.0,3
328,0,1,62,2,0,2.0,0,3.0,5
329,0,1,58,2,2,0.0,0,4.0,3
330,0,0,32,0,2,0.0,2,4.0,5
331,1,0,25,0,5,0.0,2,5.0,5
332,0,1,56,2,0,0.0,0,4.0,5
333,0,0,36,2,3,10.0,2,2.0,5
334,0,0,30,0,5,8.0,2,3.0,5
335,1,0,19,0,5,1.0,2,5.0,5
336,1,0,27,2,5,0.0,2,2.0,5
337,0,0,38,2,1,14.0,2,1.0,5
338,1,1,46,2,0,8.0,0,2.0,5
339,1,0,29,2,0,3.0,2,1.0,5
340,1,1,51,0,3,1.0,0,4.0,6
341,1,1,55,0,0,0.0,2,1.0,5
342,0,1,69,2,2,1.0,2,1.0,2
343,0,0,26,0,5,1.0,2,8.0,6
344,0,1,83,2,7,0.0,2,3.0,5
345,0,0,39,2,5,9.0,2,1.0,5
346,1,1,35,2,0,9.0,2,1.0,5
347,1,1,19,0,8,2.0,1,5.0,5
348,0,1,60,2,0,0.0,1,4.0,5
349,1,1,35,2,0,0.0,0,4.0,5
350,0,0,53,2,2,0.0,2,1.0,5
351,0,1,86,0,7,0.0,2,1.0,5
352,0,0,29,0,5,1.0,2,3.0,5
353,0,0,26,0,1,0.0,2,1.0,5
354,1,0,36,2,2,8.0,2,1.0,5
355,0,0,22,0,6,0.0,2,4.0,5
356,1,0,19,0,8,0.0,2,5.0,5
357,0,1,20,2,7,1.0,0,3.0,2
358,1,0,43,2,5,3.0,2,3.0,5
359,0,0,42,2,0,0.0,2,3.0,5
360,1,0,43,2,3,1.0,2,2.0,3
361,0,1,50,2,2,4.0,1,3.0,5
362,1,0,25,2,3,1.0,2,2.0,5
363,1,1,61,0,0,1.0,1,2.0,5
364,0,1,28,2,5,0.0,0,2.0,5
365,1,0,38,2,0,1.0,2,1.0,5
366,1,0,25,0,4,12.0,2,3.0,5
367,0,0,18,0,5,9.0,2,5.0,3
368,1,1,43,2,3,1.0,0,5.0,4
369,0,0,27,2,0,8.0,2,1.0,5
370,0,0,60,2,3,1.0,2,2.0,5
371,1,1,75,2,7,2.0,2,1.0,5
372,0,0,31,0,1,0.0,2,4.0,5
373,1,0,23,0,1,6.0,2,4.0,1
374,1,0,36,2,0,8.0,2,1.0,5
375,1,0,30,0,1,1.0,2,1.0,2
376,1,1,56,0,0,1.0,0,2.0,5
377,0,1,52,2,0,2.0,2,2.0,5
378,1,1,39,2,3,0.0,2,1.0,5
379,0,0,35,0,0,5.0,2,1.0,5
380,1,1,33,0,2,0.0,0,2.0,5
381,0,0,25,2,0,0.0,2,6.0,5
382,0,1,27,2,0,0.0,0,2.0,3
383,1,1,35,2,0,1.0,1,3.0,5
384,0,1,41,2,0,1.0,0,2.0,5
385,0,1,49,2,0,0.0,0,3.0,6
386,0,1,46,0,0,8.0,0,2.0,5
387,0,0,31,0,5,0.0,2,2.0,5
388,1,0,49,2,1,0.0,2,1.0,5
389,0,0,26,2,0,9.0,2,1.0,5
390,1,1,43,2,1,13.0,1,2.0,5
391,0,1,30,2,0,8.0,2,4.0,5
392,0,1,70,2,0,1.0,0,4.0,5
393,0,0,28,2,0,0.0,2,1.0,5
394,0,1,89,0,7,3.0,1,1.0,5
395,0,1,42,0,6,6.0,1,4.0,5
396,0,1,37,2,3,6.0,0,3.0,3
397,1,1,29,0,4,1.0,0,3.0,5
398,0,1,68,2,0,1.0,1,2.0,5
399,0,0,25,0,2,1.0,2,1.0,3
400,1,0,29,0,5,1.0,2,1.0,5
401,0,1,48,2,1,0.0,2,2.0,5
402,0,1,51,2,1,1.0,0,3.0,0
403,0,1,40,2,2,1.0,1,5.0,1
404,1,1,47,2,0,0.0,0,6.0,6
405,1,1,39,2,4,0.0,1,3.0,5
406,1,1,35,2,4,1.0,0,4.0,5
407,0,0,19,0,5,2.0,2,3.0,5
408,0,0,21,0,5,7.0,2,1.0,5
409,1,1,46,2,3,0.0,0,3.0,3
410,1,1,86,2,7,0.0,2,1.0,5
411,1,1,66,2,0,0.0,1,2.0,5
412,1,0,42,0,8,1.0,2,5.0,3
413,0,1,73,2,7,1.0,1,2.0,5
414,1,1,72,0,2,1.0,2,1.0,5
415,1,1,53,2,0,0.0,2,3.0,5
416,0,1,39,2,0,8.0,0,2.0,5
417,0,0,27,0,6,9.0,2,1.0,5
418,1,1,63,0,3,1.0,0,1.0,5
419,0,0,23,0,5,1.0,2,3.0,3
420,0,0,30,2,3,0.0,2,4.0,5
421,0,1,39,2,0,5.0,0,2.0,5
422,1,1,26,2,0,1.0,0,3.0,5
423,0,1,50,2,3,7.0,2,3.0,5
424,0,1,45,2,0,1.0,0,2.0,5
425,0,0,62,0,3,2.0,2,1.0,5
426,0,0,27,2,1,1.0,2,3.0,5
427,1,1,57,2,3,1.0,2,1.0,5
428,0,1,30,0,2,1.0,0,7.0,3
429,1,0,32,0,5,7.0,2,4.0,2
430,1,0,18,1,4,0.0,2,5.0,3
431,1,0,47,0,0,3.0,2,3.0,4
432,0,0,32,2,0,4.0,2,4.0,1
433,0,1,32,0,2,5.0,2,3.0,0
434,1,1,67,2,1,1.0,0,4.0,5
435,0,1,77,2,7,0.0,1,2.0,5
436,1,1,79,0,9,0.0,0,2.0,7
437,1,0,31,0,3,1.0,2,1.0,3
438,1,1,42,2,0,0.0,2,3.0,3
439,0,0,18,0,9,0.0,2,6.0,5
440,1,1,50,2,0,1.0,0,4.0,1
441,1,1,71,2,0,0.0,0,5.0,5
442,0,1,72,0,7,1.0,2,3.0,5
443,1,1,47,2,0,0.0,2,3.0,5
444,1,1,45,2,0,9.0,0,2.0,5
445,0,0,40,0,2,9.0,2,5.0,3
446,0,0,36,2,2,4.0,2,1.0,5
447,0,0,42,2,0,0.0,2,1.0,5
448,1,0,30,0,5,4.0,2,4.0,5
449,0,0,29,2,5,2.0,2,4.0,3
450,1,0,28,2,2,0.0,2,5.0,3
451,1,2,22,0,5,0.0,2,2.0,5
452,1,1,85,0,7,0.0,2,1.0,5
453,0,1,40,2,0,1.0,0,2.0,5
454,0,1,52,2,0,14.0,0,2.0,5
455,1,1,47,2,0,0.0,2,1.0,5
456,1,0,26,0,0,6.0,2,6.0,4
457,0,0,55,2,8,3.0,2,1.0,5
458,0,0,20,0,1,4.0,2,4.0,5
459,0,1,87,2,7,0.0,1,2.0,5
460,1,0,28,0,5,0.0,2,2.0,3
461,1,0,38,0,0,2.0,2,2.0,2
462,1,1,42,0,3,1.0,2,2.0,3
463,1,1,42,0,8,0.0,1,6.0,3
464,0,0,29,0,2,1.0,2,4.0,5
465,1,0,32,2,1,0.0,2,4.0,5
466,1,1,38,0,4,0.0,1,5.0,3
467,0,1,59,0,0,1.0,1,2.0,5
468,1,0,22,0,5,0.0,2,2.0,2
469,0,0,26,0,6,9.0,2,1.0,3
470,0,1,78,2,0,1.0,1,2.0,5
471,0,0,32,2,5,0.0,2,3.0,3
472,1,1,37,2,0,0.0,0,4.0,6
473,1,1,37,2,5,1.0,1,4.0,5
474,1,0,67,0,7,0.0,2,2.0,5
475,1,1,47,0,0,0.0,1,4.0,5
476,0,1,68,2,7,0.0,1,2.0,5
477,1,0,30,2,5,3.0,2,5.0,0
478,0,1,48,2,3,2.0,2,1.0,0
479,0,0,43,2,0,6.0,2,1.0,5
480,1,1,33,2,5,9.0,2,2.0,5
481,1,1,31,0,5,0.0,0,5.0,3
482,1,1,32,2,5,1.0,2,2.0,5
483,0,0,21,0,5,1.0,2,4.0,1
484,0,0,29,0,6,2.0,2,4.0,2
485,0,1,35,2,0,1.0,2,2.0,3
486,1,1,46,0,0,0.0,2,3.0,3
487,0,1,38,2,0,9.0,1,2.0,1
488,0,0,32,2,5,1.0,2,3.0,5
489,0,0,28,2,0,3.0,2,7.0,1
490,0,1,68,2,7,3.0,2,1.0,5
491,0,1,45,2,0,4.0,2,1.0,5
492,1,1,58,2,0,0.0,0,3.0,6
493,1,0,28,0,3,1.0,2,2.0,6
494,0,0,32,0,5,12.0,2,3.0,5
495,1,0,30,2,1,1.0,2,1.0,2
496,0,1,42,0,6,3.0,0,4.0,5
497,1,0,22,0,9,0.0,2,6.0,0
498,1,0,41,2,0,0.0,2,3.0,5
499,0,0,18,0,5,6.0,2,4.0,6
500,0,1,29,2,5,8.0,2,3.0,2
501,0,0,33,2,5,0.0,2,3.0,5
502,1,0,47,0,0,1.0,2,1.0,3
503,0,1,57,2,1,1.0,2,2.0,6
504,1,1,36,2,4,1.0,2,3.0,5
505,1,1,57,2,4,1.0,1,3.0,5
506,1,0,18,0,5,1.0,2,2.0,5
507,1,2,52,2,0,1.0,0,5.0,3
508,1,1,52,2,0,1.0,0,6.0,5
509,1,0,51,1,0,6.0,2,4.0,3
510,0,1,37,2,3,0.0,0,2.0,0
511,1,0,36,2,8,0.0,2,1.0,5
512,0,0,29,2,5,9.0,2,3.0,3
513,1,1,45,2,0,1.0,0,4.0,2
514,1,0,61,2,0,0.0,2,1.0,5
515,1,1,52,2,3,1.0,0,4.0,5
516,0,1,49,2,6,14.0,2,1.0,5
517,1,1,40,2,3,0.0,0,2.0,3
518,0,0,31,0,5,1.0,2,5.0,3
519,1,1,42,0,3,1.0,2,3.0,3
520,1,1,51,2,2,1.0,0,5.0,5
521,0,0,42,2,5,8.0,2,1.0,6
522,1,0,29,2,1,1.0,2,4.0,5
523,0,0,33,2,5,8.0,2,1.0,3
524,1,0,27,2,5,0.0,2,3.0,5
525,0,0,21,0,5,0.0,2,4.0,1
526,1,1,35,0,0,9.0,0,3.0,5
527,0,0,42,2,1,0.0,2,1.0,5
528,0,0,41,2,0,2.0,2,1.0,5
529,1,0,39,2,0,0.0,2,3.0,5
530,0,0,28,0,1,14.0,2,1.0,5
531,0,1,45,2,2,3.0,0,1.0,2
532,0,1,61,2,1,1.0,0,2.0,5
533,1,1,62,2,0,0.0,0,4.0,5
534,1,1,65,2,3,1.0,0,2.0,5
535,1,1,45,2,1,1.0,0,2.0,2
536,0,1,26,2,2,9.0,2,2.0,5
537,0,0,25,2,0,4.0,2,5.0,5
538,0,1,45,2,0,1.0,0,4.0,6
539,1,1,43,0,4,0.0,1,4.0,5
540,1,1,49,2,4,1.0,1,3.0,5
541,1,1,55,2,0,1.0,0,2.0,5
542,0,0,37,2,0,3.0,2,1.0,5
543,1,1,65,2,3,1.0,1,2.0,5
544,0,0,32,0,9,10.0,2,5.0,5
545,0,0,39,0,2,0.0,2,3.0,3
546,0,1,40,2,0,2.0,0,2.0,5
547,1,1,72,2,3,1.0,0,3.0,5
548,0,0,38,0,6,5.0,2,1.0,1
549,1,0,26,0,8,0.0,2,5.0,5
550,1,0,30,2,1,1.0,2,3.0,3
551,1,1,51,2,6,1.0,2,1.0,3
552,1,0,57,2,8,1.0,2,4.0,6
553,0,0,31,2,5,1.0,2,1.0,5
554,1,0,39,2,0,0.0,2,1.0,5
555,0,0,30,0,2,0.0,2,4.0,3
556,0,1,43,0,0,0.0,0,3.0,3
557,1,0,27,2,5,8.0,2,1.0,2
558,0,1,46,0,0,0.0,0,4.0,2
559,1,1,43,0,0,1.0,2,2.0,5
560,1,1,69,2,7,0.0,2,1.0,7
561,1,1,28,0,3,8.0,0,4.0,6
562,1,0,43,2,3,9.0,2,1.0,5
563,0,0,27,0,5,0.0,2,5.0,6
564,0,0,28,2,5,1.0,2,3.0,5
565,1,0,33,0,0,0.0,2,4.0,5
566,0,0,30,0,2,0.0,2,1.0,7
567,1,0,58,0,5,4.0,2,2.0,5
568,0,0,38,2,2,8.0,2,4.0,5
569,0,0,31,2,0,1.0,2,4.0,5
570,1,1,32,0,4,4.0,0,5.0,3
571,1,1,45,2,0,4.0,0,4.0,5
572,1,1,66,2,0,1.0,2,3.0,5
573,0,1,51,2,0,1.0,0,3.0,5
574,0,1,59,2,0,0.0,0,2.0,5
575,0,0,40,2,2,0.0,2,1.0,2
576,1,1,46,2,0,11.0,0,5.0,5
577,1,0,20,0,5,1.0,2,6.0,3
578,0,1,84,0,7,1.0,1,2.0,5
